pre_int,pre_uv,pre_percomp,time_spent,course_ID,final_grade,subject,enrollment_reason,semester,enrollment_status,cogproc,social,posemo,negemo,n,section,post_int,post_uv,post_percomp,WC
4,2.6666666666666665,3.5,956.1665,FrScA-S116-01,93.60730594,FrScA,Course Unavailable at Local School,S116,Approved/Enrolled,13.655135135135135,4.842162162162162,15.577567567567566,0.4175675675675676,37,01,NA,NA,NA,62.45945945945946
3.8,3.3333333333333335,3,444.4832,FrScA-S216-01,91.19638826,FrScA,Course Unavailable at Local School,S216,Approved/Enrolled,16.713333333333335,7.275384615384615,6.615641025641025,0.5715384615384616,39,01,NA,NA,NA,66.35897435897436
4.4,3.6666666666666665,4,1087.6003,FrScA-S216-01,94.69525959,FrScA,Course Unavailable at Local School,S216,Approved/Enrolled,16.737380952380953,6.524047619047619,5.562380952380953,0.525,42,01,NA,NA,NA,51.976190476190474
4.2,4.666666666666667,4,7084.7003,AnPhA-S216-01,85.4714656,AnPhA,Course Unavailable at Local School,S216,Approved/Enrolled,8.679166666666667,6.7875,4.333333333333333,0.24916666666666668,24,01,NA,NA,NA,57.708333333333336
NA,3.6666666666666665,2,1.2168,BioA-S116-01,NA,BioA,Learning Preference of the Student,S116,Withdrawn,NA,NA,NA,NA,NA,01,NA,NA,NA,NA
5,4.666666666666667,4,2591.1496,FrScA-S116-01,93.37899543,FrScA,Course Unavailable at Local School,S116,Approved/Enrolled,14.490487804878049,6.2075609756097565,7.560975609756097,1.1490243902439026,41,01,NA,NA,NA,61.80487804878049
4.8,2.3333333333333335,3,2101.933,FrScA-S116-03,95.37671233,FrScA,Course Unavailable at Local School,S116,Approved/Enrolled,14.911785714285713,6.135357142857143,5.321428571428571,0.565,28,03,NA,NA,NA,58.857142857142854
4.4,4,4.5,719.1165,PhysA-S216-01,78.125,PhysA,Scheduling Conflict,S216,Approved/Enrolled,18.431052631578947,8.338947368421053,5.677894736842105,0.6063157894736843,19,01,NA,NA,NA,79.89473684210526
4.8,4.333333333333333,4,1537.1834,AnPhA-S116-02,95.96,AnPhA,Scheduling Conflict,S116,Approved/Enrolled,12.073888888888888,7.486666666666666,4.612777777777778,0.155,18,02,NA,NA,NA,75.27777777777777
3.4,2.6666666666666665,2.5,6664.4499,BioA-S116-01,91.50537634,BioA,Learning Preference of the Student,S116,Approved/Enrolled,17.722142857142856,8.034285714285714,5.439642857142857,1.072857142857143,28,01,1.75,1.6666666666666667,2,70.82142857142857
4.6,4.666666666666667,4,2938.4666,AnPhA-S116-01,93.64,AnPhA,Learning Preference of the Student,S116,Approved/Enrolled,8.617391304347827,7.550434782608695,4.487826086956522,0.8230434782608695,23,01,NA,NA,NA,69.47826086956522
4.8,4.333333333333333,3.5,2602.2333,BioA-S116-01,90.23655914,BioA,Learning Preference of the Student,S116,Approved/Enrolled,17.88851851851852,7.257407407407407,9.29037037037037,1.1925925925925926,27,01,NA,NA,NA,81.62962962962963
5,4.666666666666667,4.5,2006.4003,FrScA-S216-01,88.71331828,FrScA,Course Unavailable at Local School,S216,Approved/Enrolled,13.78923076923077,5,4.731538461538461,0.49333333333333335,39,01,NA,NA,NA,51.282051282051285
